Date,Arrival tourism in Taiwan (person),Domestic GDP of Taiwan(millions),Tourism attractions # in Taiwan (sum),CPI of Taiwan (2011 as 100),Average exchange rate of Taiwan (US dollars),GNI of Taiwan (millions),NI of Taiwan (millions),National park # of Taiwan,National scenic area # of Taiwan,Government-owned recreational area # of Taiwan,Privately-owned recreational area # of Taiwan,International port inward & outward per ship,International Tourist Hotels room rate ($) in Taipei,Tourist Hotels room rate ($) in Taipei,Aircraft Movement daily average per plane,exchange rate 10 day buy in (NT$),exchange rate 10 day sell out (NT$),WTI oil price dollars per barrel (US$),Hong Kong CPI,Japan GDP,Japan population,Public expenditure total (NT$),Budget (NT$),National defence expenditure (NT$),Education & science & culture expenditure (NT$),Economy expediture (NT$),Social welfare (NT$),Community development & environment protection expediture (NT$),Retirement expenditure (NT$),Debt expenditure (NT$),Subsidy expenditure (NT$),Treatment adjustment expenditure (NT$),Other expenditure (NT$),Before budget (NT$),Special budget expenditure (NT$),Out of budget expenditure (NT$),Catering revenue (NT$),Restaurant revenue (NT$),Drinking revenue (NT$),Other catering revenue (NT$),International airline people,Hotel #,Hotel room #,Tourism hotel #,Tourism hotel room #,Train carrying #,Average train carrying daily people,Usage percentage of train,Train on-time rate,Train revenue (NT$),Composite retail revenue (NT$),Department revenue (NT$),Supermarket revenue (NT$),Convinent store revenue (NT$),Retail mall revenue (NT$),Other retail revenue (NT$),Food & drink retail revenue (NT$),Clothe retail revenue (NT$),Furniture trtail revenue (NT$),Drug & cosmetic retail revenue (NT$),Recreational retail revenue (NT$),Building material retail revenue (NT$),Fuel retail revenue (NT$),Technology retail revenue (NT$),Vehicle retail revenue (NT$),Other special retail revenue (NT$),No-storefront retail revenue (NT$),Two coast plane,Transit people,Intra-nation plane people
01/06/2005,293044,2889085,301,92.82,31.4,2958382,2544059,38,80,72,43,7055,3565,1893,?,31.536,31.655,56.35,95381,16383,38318,+0.1,125546.3,127773000,47160834,30885591,37649060,5929087,48689993,5868190,2315317,1565688,2076416,13662235,10710892,13660552,24410182,20654796,2648780,1106606,1953634,88,21898,88,21898,13167,438897,63.03,93.23,1272465,"61,274,953 ","15,335,618 ","8,130,658 ","17,240,321 ","10,184,627 ","10,383,729 ","27,198,613 ","19,642,672 ","20,572,787 ","11,666,999 ","7,582,861 ","3,329,813 ","19,588,530 ","27,010,596 ","46,025,019 ","4,503,034 ","9,260,283 ",0,211202,1688930
01/07/2005,268269,3047620,301,93.9,32.32,3072716,2665314,38,80,72,43,6988,3565,1893,?,31.84,32.035,59,82226,18255,38527,+0.1,123244.9,127773000,41233304,24085990,53948346,5071435,28853645,5714386,2435973,857245,467627,8184988,16260535,-1203744,25694742,21901757,2828701,964284,2239281,88,21898,88,21898,14177,457311,70.4,91.13,1407991,"65,685,317 ","16,736,092 ","8,672,175 ","18,743,338 ","11,044,690 ","10,489,023 ","27,600,622 ","20,321,972 ","21,793,313 ","11,241,097 ","8,162,544 ","3,400,264 ","20,307,701 ","28,345,331 ","47,205,460 ","4,455,622 ","8,933,526 ",0,223351,1909504
01/08/2005,281693,3047620,301,94.6,32.32,3072716,2665314,38,80,72,43,7085,3565,1893,?,32.666,32.785,64.99,89116,18400,43100,+0.1,123244.9,127773000,46641621,24009140,25246422,5511555,5226648,12049441,5088871,623928,1279645,9467218,8697812,13816230,25336457,21630244,2751004,955209,2129229,88,21898,88,21898,14571,470037,66.99,90.37,1378426,"66,464,122 ","16,528,787 ","9,834,564 ","16,355,438 ","12,746,674 ","10,998,659 ","29,313,565 ","20,565,145 ","20,940,696 ","10,874,620 ","8,154,809 ","3,229,233 ","21,240,153 ","27,271,961 ","33,621,030 ","4,624,835 ","8,952,117 ",0,227879,1675938
01/09/2005,270700,3047620,301,94.73,32.32,3072716,2665314,38,80,72,43,7015,3565,1893,?,33.103,33.221,65.59,97970,19137,32758,+0.1,123244.9,127773000,47031455,31037328,22368041,6032992,3025323,15145417,1681131,586760,850546,7308242,9205371,11505295,22738640,19177862,2571684,989094,1846991,88,21898,88,21898,14011,467031,66.09,92.05,1291990,"59,936,540 ","13,890,324 ","9,188,059 ","15,960,187 ","10,439,025 ","10,458,945 ","30,418,637 ","19,258,799 ","21,345,368 ","11,467,966 ","8,093,804 ","3,079,168 ","19,600,888 ","27,561,649 ","39,413,279 ","4,819,466 ","9,249,534 ",0,194912,1532297
01/10/2005,297454,3254360,301,94.66,33.46,3343098,2931411,38,80,72,43,6972,3565,1893,?,33.466,33.582,62.26,103458,19263,31015,+0.2,132119.9,127773000,38774626,28027686,22823736,5386958,2929454,10616228,1986890,241438,2916757,7579587,23256945,16096293,23727934,20033639,2619024,1075271,1954534,88,21898,88,21898,14444,465947,62.92,93.02,1273388,"66,364,183 ","21,334,654 ","7,999,654 ","16,146,441 ","10,347,055 ","10,536,379 ","29,374,891 ","20,828,181 ","21,377,160 ","11,743,914 ","8,221,981 ","3,339,244 ","20,331,496 ","27,138,460 ","35,223,925 ","4,871,104 ","8,869,211 ",0,194211,1518858
01/11/2005,302277,3254360,301,93.23,33.46,3343098,2931411,38,80,72,43,6912,3565,1893,?,33.424,33.546,58.32,108352,23414,32111,+0.2,132119.9,127773000,42749165,21983566,23612559,5003154,3433442,13679535,4866552,405855,1941433,6278399,7954677,16772776,22807487,19061549,2621721,1124218,1712710,88,21898,88,21898,14002,466744,62.59,93.62,1232667,"64,020,205 ","20,885,558 ","7,579,809 ","15,854,845 ","9,315,675 ","10,384,318 ","26,970,113 ","20,173,983 ","21,375,205 ","12,356,885 ","8,877,048 ","3,359,133 ","19,953,724 ","27,212,993 ","36,767,145 ","5,089,800 ","9,518,644 ",0,189365,1421810
01/12/2005,311245,3254360,301,93.02,33.46,3343098,2931411,38,80,72,43,6863,3565,1893,?,32.712,32.876,59.41,96007,24816,43694,+0.2,132119.9,127773000,44763796,53196739,39828705,10423138,3497112,14091234,2882782,280393,3430727,15948616,19603488,85941394,24492562,20472208,2859106,1161248,1720776,87,21434,87,21434,14471,466821,61.38,93.46,1269756,"67,871,142 ","22,423,299 ","7,767,576 ","15,444,333 ","10,964,026 ","11,271,908 ","27,836,228 ","22,650,337 ","23,254,716 ","13,545,816 ","9,550,017 ","3,791,449 ","20,955,832 ","29,506,754 ","38,757,039 ","5,608,171 ","10,848,724 ",0,214499,1441109
01/01/2006,264347,3037798,298,93.12,32.32,3155292,2705267,35,79,72,43,6795,3801,1986,432,31.892,32.015,65.49,85523,20351,32414,+0.1,124438.3,127854000,86780942,22735789,37269706,6044956,76067908,21591400,9560534,0,572441,5573363,8377669,-4773619,27365221,23497834,2755927,1111460,1824388,87,21434,87,21434,13332,430068,61.67,94.07,1347605,"72,637,041 ","20,583,783 ","9,590,852 ","16,323,973 ","14,491,480 ","11,646,953 ","29,051,450 ","23,172,427 ","24,125,072 ","11,020,328 ","9,591,524 ","3,720,014 ","21,511,727 ","30,724,391 ","48,904,047 ","4,903,391 ","8,817,781 ",0,226262,1453873
01/02/2006,286156,3037798,298,92.2,32.32,3155292,2705267,35,79,72,43,6009,3801,1986,432,32.372,32.491,61.63,99506,21823,34124,+0.1,124438.3,127854000,28072133,11480949,41335029,3105742,5268531,14668531,-11112,0,912218,6209815,1263721,2243709,24556508,20780515,2728706,1047287,1904232,86,21189,86,21189,14471,516811,63.64,92.95,1246919,"58,493,297 ","16,305,172 ","7,294,802 ","15,627,694 ","9,226,304 ","10,039,325 ","24,863,166 ","19,264,497 ","20,750,136 ","10,822,845 ","8,912,098 ","3,050,720 ","19,115,601 ","26,602,530 ","32,463,954 ","4,363,199 ","7,862,882 ",0,190025,1330872
01/03/2006,309381,3037798,298,91.94,32.32,3155292,2705267,35,79,72,43,7202,3801,1986,432,32.37,32.489,62.69,109459,23092,34443,+0.2,124438.3,127854000,36417227,17678272,24333107,4566049,4514916,14267551,2003069,0,1347915,13103177,9906968,10135529,23565234,19665423,2725827,1173984,1862341,86,21189,86,21189,14393,464279,63.18,92.05,1294780,"57,719,426 ","13,525,268 ","7,969,987 ","16,102,233 ","9,839,015 ","10,282,923 ","26,619,526 ","18,855,783 ","21,207,406 ","12,076,347 ","8,687,513 ","3,191,114 ","21,342,569 ","28,173,135 ","40,030,453 ","5,095,731 ","8,745,098 ",0,223135,1403252
01/04/2006,290043,3038119,298,93.15,32.18,3107187,2647429,35,79,72,43,7038,3801,1986,432,31.817,31.936,69.44,84425,27266,42018,+0.2,125457.5,127854000,36077485,15162437,23509531,4827972,3235727,2050445,2028754,0,1214264,11033787,5980494,2740060,23907114,20000625,2670291,1236198,1985923,87,21394,87,21394,14245,474818,63.04,91.3,1259546,"61,890,551 ","16,804,378 ","7,917,079 ","16,378,383 ","10,242,890 ","10,547,821 ","26,718,713 ","18,873,131 ","22,122,917 ","11,987,221 ","8,977,340 ","3,475,825 ","20,839,539 ","29,269,235 ","36,596,653 ","5,097,780 ","8,351,044 ",0,210089,1453397
01/05/2006,283075,3038119,298,94,32.18,3107187,2647429,35,79,72,43,7163,3801,1986,432,31.924,32.044,70.84,90886,25546,35820,+0.3,125457.5,127854000,41541745,15890152,25890228,5624472,4795599,5557961,4134301,0,1691044,13291454,4271943,10456238,24672260,20627704,2817064,1227492,1922723,88,21570,88,21570,14130,455809,60.8,91.68,1252764,"63,610,168 ","16,481,735 ","8,155,236 ","17,810,218 ","10,834,884 ","10,328,095 ","28,197,581 ","18,603,811 ","21,247,343 ","11,611,181 ","8,682,344 ","3,514,650 ","21,833,819 ","27,630,278 ","40,902,982 ","4,952,953 ","8,820,540 ",0,210010,1476572
01/06/2006,305127,3038119,298,94.43,32.18,3107187,2647429,35,79,72,43,7027,3801,1986,432,32.255,32.39,70.95,91676,24505,39995,+0.3,125457.5,127854000,42220664,21534830,39007656,4742674,50863687,7486353,2247715,0,720899,11731097,6950309,26682982,25223420,21151537,2820584,1251299,2022739,88,21561,88,21561,12943,431438,61.56,88.99,1217941,"62,106,914 ","14,984,687 ","8,114,615 ","17,363,915 ","10,980,274 ","10,663,423 ","28,054,610 ","18,756,734 ","21,986,062 ","12,226,375 ","8,379,938 ","3,600,583 ","21,722,903 ","29,322,057 ","41,011,784 ","4,874,409 ","8,936,618 ",0,208426,1517227
01/07/2006,270850,3215915,298,94.64,32.78,3263652,2797370,35,79,72,43,6698,3801,1986,432,32.655,32.774,74.41,81029,25140,38126,+0.2,123059.4,127854000,43248559,25499035,45145664,5830034,26663665,7289397,2740976,0,1241672,8298438,11114005,9569427,26918433,22716536,2961272,1240625,2306384,89,21825,89,21825,13883,447846,65.54,89.5,1325449,"68,587,868 ","16,693,937 ","9,300,578 ","19,087,144 ","12,553,536 ","10,952,673 ","29,774,820 ","19,773,912 ","23,400,124 ","11,106,439 ","8,926,028 ","3,787,392 ","21,994,179 ","30,773,366 ","41,520,740 ","5,053,760 ","8,489,894 ",0,228878,1631232
01/08/2006,292561,3215915,298,94.07,32.78,3263652,2797370,35,79,72,43,7223,3801,1986,432,32.811,32.929,73.04,98725,25845,44668,+0.2,123059.4,127854000,49734706,18755291,34182205,4331486,5411066,12798869,4302313,0,1315541,9277920,9990870,22827513,25855857,21954844,2898178,1002835,2209598,89,21806,89,21806,14660,472919,66.75,92.14,1355140,"67,558,067 ","16,145,434 ","9,332,805 ","18,398,409 ","12,532,592 ","11,148,827 ","31,524,368 ","19,901,454 ","21,799,259 ","11,489,473 ","8,979,753 ","3,606,476 ","22,142,420 ","28,769,478 ","24,043,906 ","5,211,129 ","8,691,953 ",0,233253,1573319
01/09/2006,274118,3215915,298,93.56,32.78,3263652,2797370,35,79,72,43,6791,3801,1986,432,33.006,33.121,63.8,102438,25725,32095,+0.1,123059.4,127854000,43198076,19650372,23094589,4854565,4028442,14832590,1779225,0,966355,8907118,11300773,24329111,24315276,20552964,2728812,1033500,1899356,89,21815,89,21815,13914,463787,63.43,92.37,1253069,"61,518,464 ","13,722,936 ","8,730,895 ","17,683,340 ","10,471,882 ","10,909,411 ","31,478,547 ","18,980,738 ","21,839,804 ","11,717,311 ","9,055,037 ","3,499,977 ","20,647,585 ","29,759,218 ","31,593,452 ","4,819,787 ","9,133,244 ",0,194081,1360551
01/10/2006,301575,3348971,298,93.53,32.85,3426371,2967301,35,79,72,43,6839,3801,1986,432,33.167,33.286,58.89,103465,25371,28029,+0.1,133731.8,127854000,42049978,18184307,25772478,4987166,2938497,8906548,1815110,0,1747606,6226115,7519078,11038864,25603231,21751145,2762637,1089449,2103652,88,21061,88,21061,14836,478580,61.25,93.31,1258466,"72,966,417 ","24,173,249 ","9,199,163 ","17,690,591 ","10,668,925 ","11,234,489 ","32,021,284 ","20,721,183 ","22,166,772 ","12,374,463 ","9,152,008 ","3,859,171 ","21,707,839 ","28,837,577 ","30,276,953 ","4,764,777 ","9,597,233 ",0,198106,1497125
01/11/2006,318663,3348971,298,93.45,32.85,3426371,2967301,35,79,72,43,6692,3801,1986,432,32.324,32.455,59.08,114547,28793,28383,+0.2,133731.8,127854000,41248003,25008335,24752893,4469721,2669273,13039151,4189975,0,1513774,7073113,9650353,7939799,23947503,20141531,2629869,1176103,1864450,5383,149462,89,21095,13608,453593,61.49,93.31,1175397,"68,336,321 ","22,803,895 ","8,463,229 ","16,487,376 ","9,362,584 ","11,219,237 ","30,018,135 ","21,997,198 ","22,465,316 ","12,632,611 ","9,158,323 ","3,738,395 ","20,596,109 ","28,793,124 ","33,416,851 ","5,073,170 ","10,205,408 ",0,219663,1322805
01/12/2006,323931,3348971,298,93.65,32.85,3426371,2967301,35,79,72,43,6607,3801,1986,432,32.492,32.616,61.96,99810,26364,41769,+0.2,133731.8,127854000,41642353,38548087,39461482,7539528,8083809,15964868,2543618,0,3268347,14940304,25135852,74739157,26735597,22545538,2929036,1261023,1868185,5308,148814,89,21095,14575,470147,63.87,92.2,1284274,"67,620,524 ","19,349,914 ","8,896,924 ","16,549,016 ","11,223,586 ","11,601,084 ","30,971,317 ","22,823,167 ","23,861,896 ","13,842,402 ","9,745,786 ","4,099,952 ","21,730,643 ","31,227,146 ","37,824,706 ","5,214,268 ","11,004,337 ",0,244436,1344524
01/01/2007,274198,3180147,295,93.45,32.92,3310398,2773249,35,83,73,41,6760,4015,2013,439,32.834,32.987,54.51,101563,20754,23879,+0.2,126857.7,128001000,48991044,10488003,18426769,4074052,73420987,21695075,16119,0,526595,2208608,7107629,2939046,27476889,23426039,2871534,1179316,1722433,5468,150204,89,21092,13717,442496,62.69,91.46,1275673,"63,832,052 ","16,631,580 ","8,975,515 ","16,076,247 ","11,142,708 ","11,006,002 ","28,515,903 ","21,979,308 ","24,231,208 ","11,735,557 ","9,467,964 ","4,135,167 ","22,365,305 ","30,884,832 ","46,978,231 ","4,722,939 ","9,862,812 ",0,254803,1137057
01/02/2007,261799,3180147,295,93.81,32.92,3310398,2773249,35,83,73,41,5498,4015,2013,464,32.843,32.988,59.28,84736,22745,35289,-0.5,126857.7,128001000,61520457,17819104,58793030,5820830,5711030,16604362,8569932,0,776624,13827975,6252650,-2605,28242594,24409847,2829751,1002996,2088038,5530,150501,90,21274,13557,484169,59.1,90.64,1172346,"74,184,359 ","22,071,523 ","9,534,292 ","17,209,777 ","13,703,376 ","11,665,391 ","26,472,223 ","22,392,817 ","21,734,414 ","11,451,673 ","9,566,999 ","3,628,863 ","20,235,905 ","27,923,946 ","30,732,601 ","4,456,327 ","7,550,968 ",0,182654,1221553
01/03/2007,345295,3180147,295,92.72,32.92,3310398,2773249,35,83,73,41,6873,4015,2013,435,32.986,33.135,60.44,120599,26359,36283,+0.2,126857.7,128001000,36407013,17281307,25806733,4453287,6296410,15737088,1040093,0,1006005,11499804,3550932,5423847,25471705,21458723,2824207,1188775,1966082,5609,150926,90,21274,14493,467512,62.58,93.31,1266514,"60,611,414 ","14,479,025 ","8,386,745 ","16,878,603 ","10,028,008 ","10,839,033 ","26,532,713 ","18,437,739 ","21,321,860 ","12,469,157 ","8,408,938 ","3,202,089 ","22,615,668 ","28,486,332 ","37,644,362 ","4,763,349 ","9,572,149 ",0,240088,1024827
01/04/2007,316119,3204724,295,93.79,33.11,3300328,2771943,35,83,73,41,6845,4015,2013,447,33.174,33.358,63.98,89021,27521,49732,-0.2,127447.5,128001000,36342270,17216248,21436313,3952679,4386110,1339739,1751099,0,1572919,11874844,5790318,9448237,24525620,20543015,2737149,1245456,2085964,5701,151485,90,21274,14164,472137,59.71,92.17,1185085,"62,696,066 ","17,176,188 ","8,404,911 ","16,650,687 ","9,908,872 ","10,555,408 ","27,641,357 ","19,206,409 ","22,459,381 ","12,314,395 ","8,701,046 ","3,290,530 ","22,700,060 ","29,382,411 ","35,223,453 ","5,174,675 ","8,981,835 ",0,223342,1130175
01/05/2007,294021,3204724,295,93.98,33.11,3300328,2771943,35,83,73,41,7024,4015,2013,442,32.924,33.093,63.45,90784,25930,39057,+0.6,127447.5,128001000,42216233,16194196,25298479,5364606,4003890,6438856,4224618,0,2110004,12998063,9932658,11381393,25241533,21053918,2907143,1280472,2010516,5783,151849,90,21274,14081,454235,57.66,92.49,1175869,"66,194,007 ","17,092,523 ","8,875,074 ","18,454,825 ","10,962,416 ","10,809,169 ","28,885,767 ","20,287,345 ","22,351,899 ","12,665,742 ","8,431,773 ","3,567,100 ","23,621,915 ","28,576,703 ","36,824,006 ","5,171,265 ","9,593,138 ",0,222327,1116839
01/06/2007,320676,3204724,295,94.55,33.11,3300328,2771943,35,83,73,41,6506,4015,2013,449,32.634,32.785,67.49,92127,25568,49526,-0.1,127447.5,128001000,45141364,18448068,37733605,4234546,48995939,7356896,2655283,0,362757,10380121,14208761,15668578,26803821,22487960,3049446,1266415,2140003,5850,152443,90,21274,13177,439223,59.2,90.07,1195204,"64,380,549 ","15,801,638 ","8,605,173 ","18,115,173 ","11,098,251 ","10,760,314 ","28,040,100 ","19,883,015 ","22,785,234 ","12,920,707 ","8,461,959 ","3,445,355 ","23,022,627 ","29,694,074 ","38,632,065 ","4,947,733 ","10,071,600 ",0,217923,1093108
01/07/2007,285075,3464717,295,94.33,32.91,3496111,2939220,35,83,73,41,6912,4015,2013,451,32.704,32.852,74.12,81116,26380,42788,+0.3,124630.4,128001000,46976322,23872080,52937891,5638673,29780837,9311832,4044332,0,478652,9214917,9017675,-1449039,27922283,23459584,3275484,1187215,2254427,5890,152403,89,20976,14742,475541,66.52,90.52,1351899,"68,033,666 ","16,773,971 ","9,736,545 ","19,089,746 ","11,784,055 ","10,649,349 ","30,690,130 ","20,847,141 ","24,960,189 ","12,442,328 ","8,905,402 ","3,831,028 ","23,888,277 ","32,564,819 ","43,429,737 ","4,814,560 ","9,970,480 ",0,243818,1326457
01/08/2007,308481,3464717,295,95.58,32.91,3496111,2939220,35,83,73,41,6384,4015,2013,440,32.891,33.038,72.36,97795,27494,49586,+0.3,124630.4,128001000,50106079,23221907,31033045,5596760,4597352,12013467,4461207,0,1295718,8536803,20399101,12257966,26907562,22769685,3064723,1073154,2223246,5943,152983,89,20976,13910,448714,62.03,89.43,1221887,"71,085,684 ","16,481,356 ","10,936,624 ","18,393,623 ","14,032,996 ","11,241,085 ","32,716,192 ","20,098,451 ","23,108,638 ","12,560,155 ","9,208,185 ","3,614,175 ","23,137,132 ","29,931,559 ","29,874,959 ","4,744,873 ","10,586,555 ",0,238845,997959
01/09/2007,295594,3464717,295,96.47,32.91,3496111,2939220,35,83,73,41,6590,4015,2013,438,32.482,32.632,79.91,101584,24472,37729,+0.2,124630.4,128001000,42899646,16157990,25073199,4467874,2885878,14621509,1993736,0,786445,7291207,13861544,16369782,25293825,21257676,2937252,1098897,2031656,5956,153817,89,20967,14417,480583,62.97,91.31,1249424,"64,628,061 ","15,009,266 ","9,093,614 ","17,489,820 ","11,406,096 ","11,629,265 ","34,119,757 ","20,267,938 ","22,469,155 ","12,528,361 ","9,394,742 ","3,763,707 ","22,270,307 ","30,296,252 ","29,451,929 ","4,814,002 ","10,049,394 ",0,196253,989188
01/10/2007,314519,3557474,295,98.52,32.43,3632991,3106547,35,83,73,41,6397,4015,2013,427,32.295,32.456,85.8,99419,25290,36549,+0.7,134039.6,128001000,48369243,21339980,25583902,4637287,4509886,7345360,2021468,0,1857201,9660022,13452564,13785546,26263651,22310079,2803598,1149974,2024237,6092,154351,89,20967,14247,459575,58.94,92.01,1144542,"73,199,450 ","23,321,249 ","9,611,221 ","17,458,293 ","11,241,906 ","11,566,781 ","33,663,987 ","21,301,283 ","23,930,515 ","13,507,903 ","9,816,661 ","3,838,680 ","23,006,340 ","30,923,609 ","32,187,566 ","4,936,539 ","11,207,688 ",0,191573,907229
01/11/2007,336370,3557474,295,97.94,32.43,3632991,3106547,35,83,73,41,5985,4015,2013,428,32.156,32.308,94.77,106875,27618,38047,+0.8,134039.6,128001000,43915800,23142109,24075074,5186070,3615517,12214459,3886165,0,1555962,9661697,16825329,10226467,24957643,21031455,2784554,1141634,1929796,6120,154334,89,20965,14089,469634,59.4,91.47,1127584,"74,743,773 ","27,309,600 ","9,289,962 ","16,521,886 ","10,289,518 ","11,332,807 ","31,989,700 ","22,232,609 ","23,852,064 ","13,057,542 ","9,383,624 ","3,825,022 ","22,596,704 ","30,570,991 ","30,723,676 ","4,926,341 ","11,024,163 ",0,195988,883494
01/12/2007,363916,3557474,295,96.77,32.43,3632991,3106547,35,83,73,41,6621,4015,2013,426,32.33,32.487,91.69,100761,26645,52972,+0.9,134039.6,128001000,45276930,41907102,45148483,8337963,7229149,14696279,2884134,0,5753610,17559168,21505745,83105381,28265967,24079122,2994411,1192434,1955337,6142,154664,90,21171,15098,487033,59.74,92.42,1195151,"73,138,356 ","23,007,913 ","9,500,810 ","17,314,364 ","11,595,886 ","11,719,383 ","33,354,046 ","22,743,628 ","25,393,591 ","14,280,119 ","10,511,350 ","4,240,916 ","23,431,199 ","33,143,165 ","36,499,112 ","5,273,549 ","12,665,158 ",0,222444,882767
01/01/2008,297442,3345497,297,96.2,31.53,3507023,2912218,36,87,72,40,6206,4050,2039,399,32.07,32.255,92.97,98392,22101,30088,+0.2,126905.8,128063000,85624575,20372792,31159823,5522964,78491188,20250260,10557249,0,510509,5802759,8596970,14122137,29396918,24960406,3131710,1304802,1938735,6184,155216,90,21171,13990,451288,59.09,93.41,1203727,"70,950,475 ","18,279,980 ","10,132,017 ","17,322,517 ","13,736,361 ","11,479,600 ","31,528,965 ","22,628,419 ","26,937,692 ","12,705,653 ","9,843,800 ","4,915,390 ","23,872,981 ","33,906,691 ","44,626,134 ","4,999,591 ","11,861,167 ",0,230405,822070
01/02/2008,315134,3345497,297,97.43,31.53,3507023,2912218,36,87,72,40,5336,4050,2039,451,30.841,31.011,95.39,92394,25639,50024,+0.4,126905.8,128063000,36201666,10813808,49823190,3820492,4750656,14783427,3772922,0,824560,8259063,1335440,14568015,30353876,26280314,3047779,1025783,2003473,6207,155360,90,21171,14573,502523,56.19,91.27,1144248,"77,122,136 ","22,505,904 ","10,540,305 ","17,174,848 ","15,054,661 ","11,846,418 ","28,109,125 ","24,008,367 ","23,436,846 ","12,157,934 ","9,750,549 ","4,136,449 ","22,208,658 ","29,561,604 ","24,411,214 ","4,317,766 ","9,896,009 ",0,190231,939839
01/03/2008,342062,3345497,297,96.38,31.53,3507023,2912218,36,87,72,40,6493,4050,2039,431,30.291,30.466,105.45,106520,18811,56303,+0.3,126905.8,128063000,36688067,20730290,26692263,3738277,3759124,17381010,3705985,0,1788242,13618200,7042408,4123946,27600312,23324118,3070119,1206075,1945507,6255,155472,90,21171,15463,498809,61.24,93.22,1249803,"63,246,275 ","14,850,685 ","9,505,543 ","16,800,601 ","11,169,695 ","10,919,751 ","28,868,494 ","18,976,892 ","22,621,378 ","12,752,320 ","8,769,519 ","3,729,319 ","23,784,727 ","29,949,322 ","31,152,862 ","5,126,164 ","12,424,594 ",0,224326,804287
01/04/2008,302819,3320942,297,97.42,30.44,3370925,2763750,36,87,72,40,6328,4050,2039,427,30.368,30.514,112.58,82136,20326,43224,+0.6,125002.1,128063000,40131624,17624625,24968903,4277669,3517313,1969246,3685517,0,1186409,12258132,8616249,16510053,26004350,21713820,2988577,1301953,2024549,6281,155520,90,21059,14721,490714,57.71,93.85,1119592,"65,102,953 ","17,599,305 ","9,246,888 ","17,003,848 ","10,486,380 ","10,766,532 ","29,764,035 ","19,968,815 ","24,001,773 ","13,102,391 ","8,817,607 ","3,744,334 ","24,550,614 ","31,306,687 ","28,925,334 ","5,219,851 ","11,422,362 ",0,201257,838844
01/05/2008,314700,3320942,297,97.47,30.44,3370925,2763750,36,87,72,40,6672,4050,2039,403,30.318,30.479,125.4,84643,21940,55640,+0.4,125002.1,128063000,45326506,21205710,29210628,4777596,6501923,6887540,6549560,0,1312368,16526446,8667334,7593048,27478490,23101347,3079307,1297836,2019661,6295,155786,90,21059,14967,482796,55.76,94.48,1192248,"68,269,001 ","18,173,801 ","9,918,216 ","17,694,226 ","11,777,010 ","10,705,748 ","29,970,372 ","20,085,151 ","23,318,092 ","13,358,813 ","8,506,692 ","3,831,585 ","27,131,188 ","29,476,757 ","31,629,086 ","5,472,401 ","12,070,838 ",0,180065,872970
01/06/2008,340454,3320942,297,99.25,30.44,3370925,2763750,36,87,72,40,6247,4050,2039,391,30.272,30.414,133.88,86022,22400,66323,+0.6,125002.1,128063000,39419597,18398954,32383332,4017981,45946717,7114806,4401420,0,702235,12219608,13955215,11195741,27420088,22836192,3187879,1396017,2008167,6335,156231,90,21051,14021,467359,54.8,95.76,1144119,"65,659,326 ","15,762,414 ","9,862,485 ","17,677,372 ","11,623,121 ","10,733,934 ","30,489,060 ","20,113,734 ","22,761,632 ","13,347,823 ","8,584,428 ","3,754,319 ","26,075,766 ","29,970,745 ","28,851,838 ","5,394,187 ","10,937,869 ",0,177595,816533
01/07/2008,307287,3248413,297,99.81,31.19,3301388,2729925,36,87,72,40,6397,4050,2039,393,30.514,30.696,133.37,80201,30323,57273,+0.6,121452.9,128063000,48938855,22672585,39489435,4277672,31971909,11095334,4996615,0,423851,12058675,8732383,50479842,27539748,23063818,3203373,1272557,2098519,6390,156746,90,21052,14923,481401,61.15,95.06,1245776,"68,452,603 ","16,545,211 ","10,667,492 ","19,206,147 ","12,023,041 ","10,010,712 ","31,406,512 ","20,527,031 ","22,999,992 ","13,066,899 ","8,880,158 ","3,779,786 ","24,862,238 ","30,059,382 ","32,188,351 ","5,130,965 ","11,228,336 ",52454,192047,1021546
01/08/2008,311587,3248413,297,100.06,31.19,3301388,2729925,36,87,72,40,6655,4050,2039,383,31.446,31.621,116.67,84168,29281,64182,-0.1,121452.9,128063000,46572381,19362851,35483969,4880395,5794387,11064695,6109612,0,1033174,10524420,14632566,21546335,28124629,23757232,3267145,1100252,1938242,6421,156999,90,21052,16063,518153,63.37,95.95,1327886,"73,096,065 ","17,345,353 ","11,611,336 ","19,213,667 ","14,106,411 ","10,819,298 ","33,388,825 ","20,716,432 ","22,208,418 ","12,871,222 ","9,097,617 ","3,612,112 ","24,355,321 ","28,506,223 ","19,976,730 ","4,804,957 ","11,315,835 ",69249,201693,921123
01/09/2008,307402,3248413,297,99.46,31.19,3301388,2729925,36,87,72,40,5751,4050,2039,373,32.008,32.254,104.11,90716,33251,46911,-0.7,121452.9,128063000,43680233,20769475,28400717,4545475,4103701,14457307,23685603,0,941004,10025369,27474582,12629019,24299600,20308129,2849771,1141700,1703914,6443,158206,90,21058,14151,471707,56.32,95.46,1073125,"65,039,292 ","14,806,415 ","10,203,671 ","17,743,794 ","11,957,405 ","10,328,007 ","31,857,809 ","19,167,194 ","21,371,899 ","12,871,861 ","8,689,629 ","3,497,603 ","22,612,961 ","28,305,827 ","23,343,517 ","4,490,253 ","10,714,110 ",62872,140917,747512
